,index,Filepath,Label
22,6289,kaggle\archive\train\ASIAN GREEN BEE EATER\119.jpg,ASIAN GREEN BEE EATER
23,6290,kaggle\archive\train\ASIAN GREEN BEE EATER\12.jpg,ASIAN GREEN BEE EATER
24,6291,kaggle\archive\train\ASIAN GREEN BEE EATER\120.jpg,ASIAN GREEN BEE EATER
25,6292,kaggle\archive\train\ASIAN GREEN BEE EATER\121.jpg,ASIAN GREEN BEE EATER
26,6293,kaggle\archive\train\ASIAN GREEN BEE EATER\122.jpg,ASIAN GREEN BEE EATER
27,6294,kaggle\archive\train\ASIAN GREEN BEE EATER\123.jpg,ASIAN GREEN BEE EATER
28,6295,kaggle\archive\train\ASIAN GREEN BEE EATER\124.jpg,ASIAN GREEN BEE EATER
29,6296,kaggle\archive\train\ASIAN GREEN BEE EATER\125.jpg,ASIAN GREEN BEE EATER
30,6297,kaggle\archive\train\ASIAN GREEN BEE EATER\126.jpg,ASIAN GREEN BEE EATER
31,6298,kaggle\archive\train\ASIAN GREEN BEE EATER\127.jpg,ASIAN GREEN BEE EATER
32,6299,kaggle\archive\train\ASIAN GREEN BEE EATER\128.jpg,ASIAN GREEN BEE EATER
33,6300,kaggle\archive\train\ASIAN GREEN BEE EATER\129.jpg,ASIAN GREEN BEE EATER
34,6301,kaggle\archive\train\ASIAN GREEN BEE EATER\13.jpg,ASIAN GREEN BEE EATER
35,6302,kaggle\archive\train\ASIAN GREEN BEE EATER\130.jpg,ASIAN GREEN BEE EATER
36,6303,kaggle\archive\train\ASIAN GREEN BEE EATER\131.jpg,ASIAN GREEN BEE EATER
37,6304,kaggle\archive\train\ASIAN GREEN BEE EATER\132.jpg,ASIAN GREEN BEE EATER
38,6305,kaggle\archive\train\ASIAN GREEN BEE EATER\133.jpg,ASIAN GREEN BEE EATER
39,6306,kaggle\archive\train\ASIAN GREEN BEE EATER\134.jpg,ASIAN GREEN BEE EATER
40,6307,kaggle\archive\train\ASIAN GREEN BEE EATER\135.jpg,ASIAN GREEN BEE EATER
41,6308,kaggle\archive\train\ASIAN GREEN BEE EATER\136.jpg,ASIAN GREEN BEE EATER
42,6309,kaggle\archive\train\ASIAN GREEN BEE EATER\137.jpg,ASIAN GREEN BEE EATER
43,6310,kaggle\archive\train\ASIAN GREEN BEE EATER\138.jpg,ASIAN GREEN BEE EATER
44,6311,kaggle\archive\train\ASIAN GREEN BEE EATER\139.jpg,ASIAN GREEN BEE EATER
45,6312,kaggle\archive\train\ASIAN GREEN BEE EATER\14.jpg,ASIAN GREEN BEE EATER
46,6313,kaggle\archive\train\ASIAN GREEN BEE EATER\140.jpg,ASIAN GREEN BEE EATER
47,6314,kaggle\archive\train\ASIAN GREEN BEE EATER\141.jpg,ASIAN GREEN BEE EATER
48,6315,kaggle\archive\train\ASIAN GREEN BEE EATER\142.jpg,ASIAN GREEN BEE EATER
49,6316,kaggle\archive\train\ASIAN GREEN BEE EATER\143.jpg,ASIAN GREEN BEE EATER
50,6317,kaggle\archive\train\ASIAN GREEN BEE EATER\144.jpg,ASIAN GREEN BEE EATER
51,6318,kaggle\archive\train\ASIAN GREEN BEE EATER\145.jpg,ASIAN GREEN BEE EATER
52,6319,kaggle\archive\train\ASIAN GREEN BEE EATER\146.jpg,ASIAN GREEN BEE EATER
53,6320,kaggle\archive\train\ASIAN GREEN BEE EATER\147.jpg,ASIAN GREEN BEE EATER
54,6321,kaggle\archive\train\ASIAN GREEN BEE EATER\148.jpg,ASIAN GREEN BEE EATER
55,6322,kaggle\archive\train\ASIAN GREEN BEE EATER\149.jpg,ASIAN GREEN BEE EATER
56,6323,kaggle\archive\train\ASIAN GREEN BEE EATER\15.jpg,ASIAN GREEN BEE EATER
57,6324,kaggle\archive\train\ASIAN GREEN BEE EATER\150.jpg,ASIAN GREEN BEE EATER
58,6325,kaggle\archive\train\ASIAN GREEN BEE EATER\151.jpg,ASIAN GREEN BEE EATER
59,6326,kaggle\archive\train\ASIAN GREEN BEE EATER\152.jpg,ASIAN GREEN BEE EATER
60,6327,kaggle\archive\train\ASIAN GREEN BEE EATER\153.jpg,ASIAN GREEN BEE EATER
61,6328,kaggle\archive\train\ASIAN GREEN BEE EATER\154.jpg,ASIAN GREEN BEE EATER
62,6329,kaggle\archive\train\ASIAN GREEN BEE EATER\155.jpg,ASIAN GREEN BEE EATER
63,6330,kaggle\archive\train\ASIAN GREEN BEE EATER\156.jpg,ASIAN GREEN BEE EATER
64,6331,kaggle\archive\train\ASIAN GREEN BEE EATER\157.jpg,ASIAN GREEN BEE EATER
65,6332,kaggle\archive\train\ASIAN GREEN BEE EATER\158.jpg,ASIAN GREEN BEE EATER
66,6333,kaggle\archive\train\ASIAN GREEN BEE EATER\159.jpg,ASIAN GREEN BEE EATER
67,6334,kaggle\archive\train\ASIAN GREEN BEE EATER\16.jpg,ASIAN GREEN BEE EATER
68,6335,kaggle\archive\train\ASIAN GREEN BEE EATER\160.jpg,ASIAN GREEN BEE EATER
69,6336,kaggle\archive\train\ASIAN GREEN BEE EATER\161.jpg,ASIAN GREEN BEE EATER
70,6337,kaggle\archive\train\ASIAN GREEN BEE EATER\162.jpg,ASIAN GREEN BEE EATER
71,6338,kaggle\archive\train\ASIAN GREEN BEE EATER\163.jpg,ASIAN GREEN BEE EATER
72,6339,kaggle\archive\train\ASIAN GREEN BEE EATER\164.jpg,ASIAN GREEN BEE EATER
73,6340,kaggle\archive\train\ASIAN GREEN BEE EATER\165.jpg,ASIAN GREEN BEE EATER
74,6341,kaggle\archive\train\ASIAN GREEN BEE EATER\166.jpg,ASIAN GREEN BEE EATER
75,6342,kaggle\archive\train\ASIAN GREEN BEE EATER\167.jpg,ASIAN GREEN BEE EATER
76,6343,kaggle\archive\train\ASIAN GREEN BEE EATER\168.jpg,ASIAN GREEN BEE EATER
77,6344,kaggle\archive\train\ASIAN GREEN BEE EATER\169.jpg,ASIAN GREEN BEE EATER
78,6345,kaggle\archive\train\ASIAN GREEN BEE EATER\17.jpg,ASIAN GREEN BEE EATER
79,6346,kaggle\archive\train\ASIAN GREEN BEE EATER\170.jpg,ASIAN GREEN BEE EATER
80,6347,kaggle\archive\train\ASIAN GREEN BEE EATER\171.jpg,ASIAN GREEN BEE EATER
81,6348,kaggle\archive\train\ASIAN GREEN BEE EATER\172.jpg,ASIAN GREEN BEE EATER
82,6349,kaggle\archive\train\ASIAN GREEN BEE EATER\173.jpg,ASIAN GREEN BEE EATER
83,6350,kaggle\archive\train\ASIAN GREEN BEE EATER\174.jpg,ASIAN GREEN BEE EATER
84,6351,kaggle\archive\train\ASIAN GREEN BEE EATER\175.jpg,ASIAN GREEN BEE EATER
85,6352,kaggle\archive\train\ASIAN GREEN BEE EATER\176.jpg,ASIAN GREEN BEE EATER
86,6353,kaggle\archive\train\ASIAN GREEN BEE EATER\177.jpg,ASIAN GREEN BEE EATER
87,6354,kaggle\archive\train\ASIAN GREEN BEE EATER\178.jpg,ASIAN GREEN BEE EATER
88,6355,kaggle\archive\train\ASIAN GREEN BEE EATER\179.jpg,ASIAN GREEN BEE EATER
89,6356,kaggle\archive\train\ASIAN GREEN BEE EATER\18.jpg,ASIAN GREEN BEE EATER
90,6357,kaggle\archive\train\ASIAN GREEN BEE EATER\180.jpg,ASIAN GREEN BEE EATER
91,6358,kaggle\archive\train\ASIAN GREEN BEE EATER\181.jpg,ASIAN GREEN BEE EATER
92,6359,kaggle\archive\train\ASIAN GREEN BEE EATER\182.jpg,ASIAN GREEN BEE EATER
93,6360,kaggle\archive\train\ASIAN GREEN BEE EATER\183.jpg,ASIAN GREEN BEE EATER
94,6361,kaggle\archive\train\ASIAN GREEN BEE EATER\184.jpg,ASIAN GREEN BEE EATER
95,6362,kaggle\archive\train\ASIAN GREEN BEE EATER\185.jpg,ASIAN GREEN BEE EATER
96,6363,kaggle\archive\train\ASIAN GREEN BEE EATER\186.jpg,ASIAN GREEN BEE EATER
97,6364,kaggle\archive\train\ASIAN GREEN BEE EATER\187.jpg,ASIAN GREEN BEE EATER
98,6365,kaggle\archive\train\ASIAN GREEN BEE EATER\188.jpg,ASIAN GREEN BEE EATER
99,6366,kaggle\archive\train\ASIAN GREEN BEE EATER\189.jpg,ASIAN GREEN BEE EATER
100,6367,kaggle\archive\train\ASIAN GREEN BEE EATER\19.jpg,ASIAN GREEN BEE EATER
101,6368,kaggle\archive\train\ASIAN GREEN BEE EATER\190.jpg,ASIAN GREEN BEE EATER
102,6369,kaggle\archive\train\ASIAN GREEN BEE EATER\191.jpg,ASIAN GREEN BEE EATER
103,6370,kaggle\archive\train\ASIAN GREEN BEE EATER\192.jpg,ASIAN GREEN BEE EATER
104,6371,kaggle\archive\train\ASIAN GREEN BEE EATER\193.jpg,ASIAN GREEN BEE EATER
105,6372,kaggle\archive\train\ASIAN GREEN BEE EATER\194.jpg,ASIAN GREEN BEE EATER
106,6373,kaggle\archive\train\ASIAN GREEN BEE EATER\195.jpg,ASIAN GREEN BEE EATER
107,6374,kaggle\archive\train\ASIAN GREEN BEE EATER\196.jpg,ASIAN GREEN BEE EATER
108,6375,kaggle\archive\train\ASIAN GREEN BEE EATER\197.jpg,ASIAN GREEN BEE EATER
109,6376,kaggle\archive\train\ASIAN GREEN BEE EATER\198.jpg,ASIAN GREEN BEE EATER
110,6377,kaggle\archive\train\ASIAN GREEN BEE EATER\199.jpg,ASIAN GREEN BEE EATER
111,6378,kaggle\archive\train\ASIAN GREEN BEE EATER\2.jpg,ASIAN GREEN BEE EATER
112,6379,kaggle\archive\train\ASIAN GREEN BEE EATER\20.jpg,ASIAN GREEN BEE EATER
113,6380,kaggle\archive\train\ASIAN GREEN BEE EATER\200.jpg,ASIAN GREEN BEE EATER
114,6381,kaggle\archive\train\ASIAN GREEN BEE EATER\201.jpg,ASIAN GREEN BEE EATER
115,6382,kaggle\archive\train\ASIAN GREEN BEE EATER\202.jpg,ASIAN GREEN BEE EATER
116,6383,kaggle\archive\train\ASIAN GREEN BEE EATER\203.jpg,ASIAN GREEN BEE EATER
117,6384,kaggle\archive\train\ASIAN GREEN BEE EATER\204.jpg,ASIAN GREEN BEE EATER
118,6385,kaggle\archive\train\ASIAN GREEN BEE EATER\205.jpg,ASIAN GREEN BEE EATER
119,6386,kaggle\archive\train\ASIAN GREEN BEE EATER\206.jpg,ASIAN GREEN BEE EATER
120,6387,kaggle\archive\train\ASIAN GREEN BEE EATER\207.jpg,ASIAN GREEN BEE EATER
121,6388,kaggle\archive\train\ASIAN GREEN BEE EATER\208.jpg,ASIAN GREEN BEE EATER
122,6389,kaggle\archive\train\ASIAN GREEN BEE EATER\209.jpg,ASIAN GREEN BEE EATER
123,6390,kaggle\archive\train\ASIAN GREEN BEE EATER\21.jpg,ASIAN GREEN BEE EATER
124,6391,kaggle\archive\train\ASIAN GREEN BEE EATER\210.jpg,ASIAN GREEN BEE EATER
125,6392,kaggle\archive\train\ASIAN GREEN BEE EATER\211.jpg,ASIAN GREEN BEE EATER
126,6393,kaggle\archive\train\ASIAN GREEN BEE EATER\212.jpg,ASIAN GREEN BEE EATER
127,6394,kaggle\archive\train\ASIAN GREEN BEE EATER\213.jpg,ASIAN GREEN BEE EATER
128,6395,kaggle\archive\train\ASIAN GREEN BEE EATER\214.jpg,ASIAN GREEN BEE EATER
129,6396,kaggle\archive\train\ASIAN GREEN BEE EATER\215.jpg,ASIAN GREEN BEE EATER
130,6397,kaggle\archive\train\ASIAN GREEN BEE EATER\216.jpg,ASIAN GREEN BEE EATER
131,6398,kaggle\archive\train\ASIAN GREEN BEE EATER\217.jpg,ASIAN GREEN BEE EATER
132,6399,kaggle\archive\train\ASIAN GREEN BEE EATER\218.jpg,ASIAN GREEN BEE EATER
133,6400,kaggle\archive\train\ASIAN GREEN BEE EATER\219.jpg,ASIAN GREEN BEE EATER
134,6401,kaggle\archive\train\ASIAN GREEN BEE EATER\22.jpg,ASIAN GREEN BEE EATER
135,6402,kaggle\archive\train\ASIAN GREEN BEE EATER\220.jpg,ASIAN GREEN BEE EATER
136,6403,kaggle\archive\train\ASIAN GREEN BEE EATER\23.jpg,ASIAN GREEN BEE EATER
137,6404,kaggle\archive\train\ASIAN GREEN BEE EATER\24.jpg,ASIAN GREEN BEE EATER
138,6405,kaggle\archive\train\ASIAN GREEN BEE EATER\25.jpg,ASIAN GREEN BEE EATER
139,6406,kaggle\archive\train\ASIAN GREEN BEE EATER\26.jpg,ASIAN GREEN BEE EATER
140,6407,kaggle\archive\train\ASIAN GREEN BEE EATER\27.jpg,ASIAN GREEN BEE EATER
141,6408,kaggle\archive\train\ASIAN GREEN BEE EATER\28.jpg,ASIAN GREEN BEE EATER
142,6409,kaggle\archive\train\ASIAN GREEN BEE EATER\29.jpg,ASIAN GREEN BEE EATER
143,6410,kaggle\archive\train\ASIAN GREEN BEE EATER\3.jpg,ASIAN GREEN BEE EATER
144,6411,kaggle\archive\train\ASIAN GREEN BEE EATER\30.jpg,ASIAN GREEN BEE EATER
145,6412,kaggle\archive\train\ASIAN GREEN BEE EATER\31.jpg,ASIAN GREEN BEE EATER
146,6413,kaggle\archive\train\ASIAN GREEN BEE EATER\32.jpg,ASIAN GREEN BEE EATER
147,6414,kaggle\archive\train\ASIAN GREEN BEE EATER\33.jpg,ASIAN GREEN BEE EATER
148,6415,kaggle\archive\train\ASIAN GREEN BEE EATER\34.jpg,ASIAN GREEN BEE EATER
149,6416,kaggle\archive\train\ASIAN GREEN BEE EATER\35.jpg,ASIAN GREEN BEE EATER
150,6417,kaggle\archive\train\ASIAN GREEN BEE EATER\36.jpg,ASIAN GREEN BEE EATER
151,6418,kaggle\archive\train\ASIAN GREEN BEE EATER\37.jpg,ASIAN GREEN BEE EATER
152,6419,kaggle\archive\train\ASIAN GREEN BEE EATER\38.jpg,ASIAN GREEN BEE EATER
153,6420,kaggle\archive\train\ASIAN GREEN BEE EATER\39.jpg,ASIAN GREEN BEE EATER
154,6421,kaggle\archive\train\ASIAN GREEN BEE EATER\4.jpg,ASIAN GREEN BEE EATER
155,6422,kaggle\archive\train\ASIAN GREEN BEE EATER\40.jpg,ASIAN GREEN BEE EATER
156,6423,kaggle\archive\train\ASIAN GREEN BEE EATER\41.jpg,ASIAN GREEN BEE EATER
157,6424,kaggle\archive\train\ASIAN GREEN BEE EATER\42.jpg,ASIAN GREEN BEE EATER
158,6425,kaggle\archive\train\ASIAN GREEN BEE EATER\43.jpg,ASIAN GREEN BEE EATER
159,6426,kaggle\archive\train\ASIAN GREEN BEE EATER\44.jpg,ASIAN GREEN BEE EATER
160,6427,kaggle\archive\train\ASIAN GREEN BEE EATER\45.jpg,ASIAN GREEN BEE EATER
161,6428,kaggle\archive\train\ASIAN GREEN BEE EATER\46.jpg,ASIAN GREEN BEE EATER
162,6429,kaggle\archive\train\ASIAN GREEN BEE EATER\47.jpg,ASIAN GREEN BEE EATER
163,6430,kaggle\archive\train\ASIAN GREEN BEE EATER\48.jpg,ASIAN GREEN BEE EATER
164,6431,kaggle\archive\train\ASIAN GREEN BEE EATER\49.jpg,ASIAN GREEN BEE EATER
165,6432,kaggle\archive\train\ASIAN GREEN BEE EATER\5.jpg,ASIAN GREEN BEE EATER
166,6433,kaggle\archive\train\ASIAN GREEN BEE EATER\50.jpg,ASIAN GREEN BEE EATER
167,6434,kaggle\archive\train\ASIAN GREEN BEE EATER\51.jpg,ASIAN GREEN BEE EATER
168,6435,kaggle\archive\train\ASIAN GREEN BEE EATER\52.jpg,ASIAN GREEN BEE EATER
169,6436,kaggle\archive\train\ASIAN GREEN BEE EATER\53.jpg,ASIAN GREEN BEE EATER
170,6437,kaggle\archive\train\ASIAN GREEN BEE EATER\54.jpg,ASIAN GREEN BEE EATER
171,6438,kaggle\archive\train\ASIAN GREEN BEE EATER\55.jpg,ASIAN GREEN BEE EATER
172,6439,kaggle\archive\train\ASIAN GREEN BEE EATER\56.jpg,ASIAN GREEN BEE EATER
173,6440,kaggle\archive\train\ASIAN GREEN BEE EATER\57.jpg,ASIAN GREEN BEE EATER
174,6441,kaggle\archive\train\ASIAN GREEN BEE EATER\58.jpg,ASIAN GREEN BEE EATER
175,6442,kaggle\archive\train\ASIAN GREEN BEE EATER\59.jpg,ASIAN GREEN BEE EATER
176,6443,kaggle\archive\train\ASIAN GREEN BEE EATER\6.jpg,ASIAN GREEN BEE EATER
177,6444,kaggle\archive\train\ASIAN GREEN BEE EATER\60.jpg,ASIAN GREEN BEE EATER
178,6445,kaggle\archive\train\ASIAN GREEN BEE EATER\61.jpg,ASIAN GREEN BEE EATER
179,6446,kaggle\archive\train\ASIAN GREEN BEE EATER\62.jpg,ASIAN GREEN BEE EATER
180,6447,kaggle\archive\train\ASIAN GREEN BEE EATER\63.jpg,ASIAN GREEN BEE EATER
181,6448,kaggle\archive\train\ASIAN GREEN BEE EATER\64.jpg,ASIAN GREEN BEE EATER
182,6449,kaggle\archive\train\ASIAN GREEN BEE EATER\65.jpg,ASIAN GREEN BEE EATER
183,6450,kaggle\archive\train\ASIAN GREEN BEE EATER\66.jpg,ASIAN GREEN BEE EATER
184,6451,kaggle\archive\train\ASIAN GREEN BEE EATER\67.jpg,ASIAN GREEN BEE EATER
185,6452,kaggle\archive\train\ASIAN GREEN BEE EATER\68.jpg,ASIAN GREEN BEE EATER
186,6453,kaggle\archive\train\ASIAN GREEN BEE EATER\69.jpg,ASIAN GREEN BEE EATER
187,6454,kaggle\archive\train\ASIAN GREEN BEE EATER\7.jpg,ASIAN GREEN BEE EATER
188,6455,kaggle\archive\train\ASIAN GREEN BEE EATER\70.jpg,ASIAN GREEN BEE EATER
189,6456,kaggle\archive\train\ASIAN GREEN BEE EATER\71.jpg,ASIAN GREEN BEE EATER
190,6457,kaggle\archive\train\ASIAN GREEN BEE EATER\72.jpg,ASIAN GREEN BEE EATER
191,6458,kaggle\archive\train\ASIAN GREEN BEE EATER\73.jpg,ASIAN GREEN BEE EATER
192,6459,kaggle\archive\train\ASIAN GREEN BEE EATER\74.jpg,ASIAN GREEN BEE EATER
193,6460,kaggle\archive\train\ASIAN GREEN BEE EATER\75.jpg,ASIAN GREEN BEE EATER
194,6461,kaggle\archive\train\ASIAN GREEN BEE EATER\76.jpg,ASIAN GREEN BEE EATER
195,6462,kaggle\archive\train\ASIAN GREEN BEE EATER\77.jpg,ASIAN GREEN BEE EATER
196,6463,kaggle\archive\train\ASIAN GREEN BEE EATER\78.jpg,ASIAN GREEN BEE EATER
197,6464,kaggle\archive\train\ASIAN GREEN BEE EATER\79.jpg,ASIAN GREEN BEE EATER
198,6465,kaggle\archive\train\ASIAN GREEN BEE EATER\8.jpg,ASIAN GREEN BEE EATER
199,6466,kaggle\archive\train\ASIAN GREEN BEE EATER\80.jpg,ASIAN GREEN BEE EATER
200,6467,kaggle\archive\train\ASIAN GREEN BEE EATER\81.jpg,ASIAN GREEN BEE EATER
201,6468,kaggle\archive\train\ASIAN GREEN BEE EATER\82.jpg,ASIAN GREEN BEE EATER
202,6469,kaggle\archive\train\ASIAN GREEN BEE EATER\83.jpg,ASIAN GREEN BEE EATER
203,6470,kaggle\archive\train\ASIAN GREEN BEE EATER\84.jpg,ASIAN GREEN BEE EATER
204,6471,kaggle\archive\train\ASIAN GREEN BEE EATER\85.jpg,ASIAN GREEN BEE EATER
205,6472,kaggle\archive\train\ASIAN GREEN BEE EATER\86.jpg,ASIAN GREEN BEE EATER
206,6473,kaggle\archive\train\ASIAN GREEN BEE EATER\87.jpg,ASIAN GREEN BEE EATER
207,6474,kaggle\archive\train\ASIAN GREEN BEE EATER\88.jpg,ASIAN GREEN BEE EATER
208,6475,kaggle\archive\train\ASIAN GREEN BEE EATER\89.jpg,ASIAN GREEN BEE EATER
209,6476,kaggle\archive\train\ASIAN GREEN BEE EATER\9.jpg,ASIAN GREEN BEE EATER
210,6477,kaggle\archive\train\ASIAN GREEN BEE EATER\90.jpg,ASIAN GREEN BEE EATER
211,6478,kaggle\archive\train\ASIAN GREEN BEE EATER\91.jpg,ASIAN GREEN BEE EATER
212,6479,kaggle\archive\train\ASIAN GREEN BEE EATER\92.jpg,ASIAN GREEN BEE EATER
213,6480,kaggle\archive\train\ASIAN GREEN BEE EATER\93.jpg,ASIAN GREEN BEE EATER
214,6481,kaggle\archive\train\ASIAN GREEN BEE EATER\94.jpg,ASIAN GREEN BEE EATER
215,6482,kaggle\archive\train\ASIAN GREEN BEE EATER\95.jpg,ASIAN GREEN BEE EATER
216,6483,kaggle\archive\train\ASIAN GREEN BEE EATER\96.jpg,ASIAN GREEN BEE EATER
217,6484,kaggle\archive\train\ASIAN GREEN BEE EATER\97.jpg,ASIAN GREEN BEE EATER
218,6485,kaggle\archive\train\ASIAN GREEN BEE EATER\98.jpg,ASIAN GREEN BEE EATER
219,6486,kaggle\archive\train\ASIAN GREEN BEE EATER\99.jpg,ASIAN GREEN BEE EATER
220,20392,kaggle\archive\train\CASPIAN TERN\001.jpg,CASPIAN TERN
221,20393,kaggle\archive\train\CASPIAN TERN\002.jpg,CASPIAN TERN
222,20394,kaggle\archive\train\CASPIAN TERN\003.jpg,CASPIAN TERN
223,20395,kaggle\archive\train\CASPIAN TERN\004.jpg,CASPIAN TERN
224,20396,kaggle\archive\train\CASPIAN TERN\005.jpg,CASPIAN TERN
225,20397,kaggle\archive\train\CASPIAN TERN\006.jpg,CASPIAN TERN
226,20398,kaggle\archive\train\CASPIAN TERN\007.jpg,CASPIAN TERN
227,20399,kaggle\archive\train\CASPIAN TERN\008.jpg,CASPIAN TERN
228,20400,kaggle\archive\train\CASPIAN TERN\009.jpg,CASPIAN TERN
229,20401,kaggle\archive\train\CASPIAN TERN\010.jpg,CASPIAN TERN
230,20402,kaggle\archive\train\CASPIAN TERN\011.jpg,CASPIAN TERN
231,20403,kaggle\archive\train\CASPIAN TERN\012.jpg,CASPIAN TERN
232,20404,kaggle\archive\train\CASPIAN TERN\013.jpg,CASPIAN TERN
233,20405,kaggle\archive\train\CASPIAN TERN\014.jpg,CASPIAN TERN
234,20406,kaggle\archive\train\CASPIAN TERN\015.jpg,CASPIAN TERN
235,20407,kaggle\archive\train\CASPIAN TERN\016.jpg,CASPIAN TERN
236,20408,kaggle\archive\train\CASPIAN TERN\017.jpg,CASPIAN TERN
237,20409,kaggle\archive\train\CASPIAN TERN\018.jpg,CASPIAN TERN
238,20410,kaggle\archive\train\CASPIAN TERN\019.jpg,CASPIAN TERN
239,20411,kaggle\archive\train\CASPIAN TERN\020.jpg,CASPIAN TERN
240,20412,kaggle\archive\train\CASPIAN TERN\021.jpg,CASPIAN TERN
241,20413,kaggle\archive\train\CASPIAN TERN\022.jpg,CASPIAN TERN
242,20414,kaggle\archive\train\CASPIAN TERN\023.jpg,CASPIAN TERN
243,20415,kaggle\archive\train\CASPIAN TERN\024.jpg,CASPIAN TERN
244,20416,kaggle\archive\train\CASPIAN TERN\025.jpg,CASPIAN TERN
245,20417,kaggle\archive\train\CASPIAN TERN\026.jpg,CASPIAN TERN
246,20418,kaggle\archive\train\CASPIAN TERN\027.jpg,CASPIAN TERN
247,20419,kaggle\archive\train\CASPIAN TERN\028.jpg,CASPIAN TERN
248,20420,kaggle\archive\train\CASPIAN TERN\029.jpg,CASPIAN TERN
249,20421,kaggle\archive\train\CASPIAN TERN\030.jpg,CASPIAN TERN
250,20422,kaggle\archive\train\CASPIAN TERN\031.jpg,CASPIAN TERN
251,20423,kaggle\archive\train\CASPIAN TERN\032.jpg,CASPIAN TERN
252,20424,kaggle\archive\train\CASPIAN TERN\033.jpg,CASPIAN TERN
253,20425,kaggle\archive\train\CASPIAN TERN\034.jpg,CASPIAN TERN
254,20426,kaggle\archive\train\CASPIAN TERN\035.jpg,CASPIAN TERN
255,20427,kaggle\archive\train\CASPIAN TERN\036.jpg,CASPIAN TERN
256,20428,kaggle\archive\train\CASPIAN TERN\037.jpg,CASPIAN TERN
257,20429,kaggle\archive\train\CASPIAN TERN\038.jpg,CASPIAN TERN
258,20430,kaggle\archive\train\CASPIAN TERN\039.jpg,CASPIAN TERN
259,20431,kaggle\archive\train\CASPIAN TERN\040.jpg,CASPIAN TERN
260,20432,kaggle\archive\train\CASPIAN TERN\041.jpg,CASPIAN TERN
261,20433,kaggle\archive\train\CASPIAN TERN\042.jpg,CASPIAN TERN
262,20434,kaggle\archive\train\CASPIAN TERN\043.jpg,CASPIAN TERN
263,20435,kaggle\archive\train\CASPIAN TERN\044.jpg,CASPIAN TERN
264,20436,kaggle\archive\train\CASPIAN TERN\045.jpg,CASPIAN TERN
265,20437,kaggle\archive\train\CASPIAN TERN\046.jpg,CASPIAN TERN
266,20438,kaggle\archive\train\CASPIAN TERN\047.jpg,CASPIAN TERN
267,20439,kaggle\archive\train\CASPIAN TERN\048.jpg,CASPIAN TERN
268,20440,kaggle\archive\train\CASPIAN TERN\049.jpg,CASPIAN TERN
269,20441,kaggle\archive\train\CASPIAN TERN\050.jpg,CASPIAN TERN
270,20442,kaggle\archive\train\CASPIAN TERN\051.jpg,CASPIAN TERN
271,20443,kaggle\archive\train\CASPIAN TERN\052.jpg,CASPIAN TERN
272,20444,kaggle\archive\train\CASPIAN TERN\053.jpg,CASPIAN TERN
273,20445,kaggle\archive\train\CASPIAN TERN\054.jpg,CASPIAN TERN
274,20446,kaggle\archive\train\CASPIAN TERN\055.jpg,CASPIAN TERN
275,20447,kaggle\archive\train\CASPIAN TERN\056.jpg,CASPIAN TERN
